match,id,P11806,name,autoq,wikidata_company_name,desc,total_score,name_match_subscore,common_media_subscore,tmdb_media_count,wikidata_media_count,common_media_count
PROBABLY,313,313,TS Productions,Q65092164,TS Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,58,3,3
PROBABLY,316,316,Wildwood Enterprises,Q17386965,Wildwood Enterprises,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,23,2,2
PROBABLY,112527,112527,Manga Productions,Q113130800,Manga Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,3,1,1
PROBABLY,50501,50501,Sunstar Entertainment,Q28403775,Sunstar Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,3,1,1
PROBABLY,50513,50513,French Quarter Film,Q113197925,French Quarter Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,9,1,1
PROBABLY,24838,24838,Morse Films,Q116687686,Morse Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,4,1,1
PROBABLY,129235,129235,Company X,Q88966279,Company X,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,3,1,1
PROBABLY,330,330,Fanes Film,Q78625928,Fanes Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,7,2,2
PROBABLY,24845,24845,Topkapi Films,Q65092162,Topkapi Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,52,4,4
PROBABLY,129236,129236,Tamperclean Films,Q88966501,Tamperclean Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,20479,20479,Manson International,Q106623554,Manson International,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,15,1,1
PROBABLY,337,337,Creado Film,Q80174336,Creado Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,3,1,1
PROBABLY,9286,9286,The Orchard,Q2413243,The Orchard,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,30,1,1
PROBABLY,50590,50590,Süreç Film,Q12811996,Süreç Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,37,2,2
PROBABLY,19776,19776,Prospect Park,Q7250799,Prospect Park,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,5,1,1
PROBABLY,67224,67224,Dandelion,Q11317537,DandeLion,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,6,2,2
PROBABLY,346,346,Videofilmes,Q10390508,Videofilmes,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,47,3,3
PROBABLY,7878,7878,Smash Pictures,Q7544227,Smash Pictures,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,87536,87536,C2C,Q17513068,C2C,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,17,9,9
PROBABLY,165515,165515,Ukranimafilm,Q12163625,Ukranimafilm,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,82,8,8
PROBABLY,7864,7864,Amiguetes Entertainment,Q5672652,Amiguetes Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,13,2,2
PROBABLY,67256,67256,Mediabruket,Q20019146,Mediabruket,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,11,1,1
PROBABLY,355,355,R.P. Productions,Q78791889,RP Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,9,1,1
PROBABLY,20482,20482,Iota Production,Q20978743,Iota Production,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,32,2,2
PROBABLY,20484,20484,Manchester Films,Q50335374,Manchester Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,7,1,1
PROBABLY,359,359,Figment Films,Q89783315,Figment Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,10,1,1
PROBABLY,7847,7847,Escándalo Films,Q20103327,Escándalo Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,26,3,3
PROBABLY,160524,160524,Stanford University,Q41506,Stanford University,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,3,1,1
PROBABLY,87468,87468,Toonz Entertainment,Q7824188,Toonz Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,4,1,1
